Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
Modern and Contemporary Art,Painting,The Cotton Club From Under the Viaduct at Riverside Drive and St. Clair Place,,,,Rackstraw Downes,American (born England) 1939,,"Downes, Rackstraw",American,1939      ,2039      ,2003,2003
Modern and Contemporary Art,Painting,Untitled,,,,Julian Lethbridge,"British, born Sri Lanka 1947",,"Lethbridge, Julian",British,1947      ,2047      ,2003–4,2003
Modern and Contemporary Art,Painting,Still,,,,Jenny Saville,"British, born Cambridge 1970",,"Saville, Jenny",British,1970      ,2070      ,2003,2003
Modern and Contemporary Art,Painting,"Out of the Darkness, the Lord Gave Us Light",,,,Thornton Dial,"American, Emelle, Alabama 1928–2016 McCalla, Alabama",,"Dial, Thornton",,1928      ,2016      ,2003,2003
Modern and Contemporary Art,Painting,Bush Hen Dreaming - Bush Leaves,,,,Abie Loy Kemarre,"Australian (Aboriginal), born ca. 1972",,"Kemarre, Abie Loy",,1972      ,9999      ,2003,2003
Modern and Contemporary Art,Painting,Jimbala,,,,Lena Nyadbi,"Australian (Aboriginal), born ca. 1936",,"Nyadbi, Lena",,1936      ,9999      ,2003,2003
Modern and Contemporary Art,Painting,Elysium,,,,Bridget Riley,"British, born London, 1931",,"Riley, Bridget",,1931      ,2031      ,2003/1973,1973
Modern and Contemporary Art,Painting,Dual Self-Portrait,,,,Jim Torok,"American, born South Bend, Indiana 1954",,"Torok, Jim",American,1954      ,9999      ,2001–2,2001
Modern and Contemporary Art,Painting,Initiatory Site,,,,Karel Nel,"South African, born Pietermaritzburg 1955",,"Nel, Karel",South African,1955      ,2055      ,2002,2002
Modern and Contemporary Art,Painting,Self-Portrait (red background),,,,Mary Beth McKenzie,"American, born Cleveland, Ohio, 1946",,"Mckenzie, Mary Beth",American,1946      ,2046      ,2002,2002
Modern and Contemporary Art,Painting,Karntakurlangu Jukurrpa,,,,Dorothy Napangardi,"Australian (Aboriginal), ca. 1950–2013 Yuendumu/Alice Springs",,"Napangardi, Dorothy",,1950      ,2013      ,2002,2002
Modern and Contemporary Art,Painting,Good as Gold,,,,Julian Hatton,"American, born Grand Haven, Michigan 1956",,"Hatton, Julian",American,1956      ,2056      ,2001,2001
Modern and Contemporary Art,Painting,Rat Tat Tat,,,,Malcolm Morley,American (born England) London 1931–2018 New York,,"Morley, Malcolm","American, born England",1931      ,2018      ,2001,2001
Modern and Contemporary Art,Painting,"Untitled (Man with Gun, Man on Knees, Man Checking Watch)",,,,Kojo Griffin,"American, born Farmville, Virginia, 1971",,"Griffin, Kojo",,1971      ,2071      ,2001,2001
"Arts of Africa, Oceania, and the Americas",Painting,Rock Painting,Arnhem Land,,,,,,,,,,early to mid-20th century,1800
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Kambot people,,,,,,,,,,mid-20th century,1800
"Arts of Africa, Oceania, and the Americas",Painting,Bark Painting,Ingura people,,,Bryyinyuwuy,,(possibly),Bryyinyuwuy,,,,1940s–1950s,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Kambot people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Asmat Artisan,Asmat people,,,Lunda Hoyle Gill,"American, 1928–2003 Encino, California",,Gill Lunda Hoyle,,1928      ,2003      ,mid-20th century,1900
